Time(days),O3(molecules_m^-3),O(molecules_m^-3),O1D(molecules_m^-3),NO(molecules_m^-3),NO2(molecules_m^-3),Cl(molecules_m^-3),ClO(molecules_m^-3),OH(molecules_m^-3),HO2(molecules_m^-3),H(molecules_m^-3),Br(molecules_m^-3),BrO(molecules_m^-3),CH4(molecules_m^-3),H2O(molecules_m^-3),N2O(molecules_m^-3),HNO3(molecules_m^-3),HCl(molecules_m^-3),ClONO2(molecules_m^-3),HOCl(molecules_m^-3),ClOOCl(molecules_m^-3),ClOO(molecules_m^-3),BrCl(molecules_m^-3),OClO(molecules_m^-3)
0.8541666666666666,5.099486315206809e+17,142956399.76736727,113.89858966659223,802115903.151024,1909364205828352.0,49894490.35879395,123681329885.23111,193819500074.91644,108376097616.09807,24573.061255868735,147438631.13433054,1994122727515383.0,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47368395777917.195,797364675794245.1,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5584258183514.283
0.875,5.098404802855244e+17,123723227.9628474,99.31194448394014,696777129.7742829,1909287463987905.0,49894490.35879395,120795026417.95937,175017276222.74158,97899276445.0672,24573.061255868735,147438631.13433054,2042693581957516.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47428462602666.09,806635417534202.6,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5623990023479.911
0.8958333333333334,5.097404213828032e+17,103950549.4920893,84.307771238224,588353913.6663233,1909210041314368.2,49894490.35879395,118042952587.06319,155522912487.42545,87035876916.77736,24573.061255868735,147438631.13433054,2091254725447481.2,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47489600941205.83,815906159274160.1,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5663693223545.956
0.9166666666666666,5.0964866753207955e+17,83723727.53334248,68.94980415192616,477318372.1695988,1909132044098649.5,49894490.35879395,115416034069.04427,135416503873.821,75830528355.80016,24573.061255868735,147438631.13433054,2139806988055813.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47551686211076.34,825176901014117.6,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5703367694921.485
0.9375,5.095653961974003e+17,63130174.002924874,53.30320627107061,364154946.5448189,1909053584408221.2,49894490.35879395,112905995948.30653,114781112544.06346,64329517095.87465,24573.061255868735,147438631.13433054,2188351216467576.2,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47614589230857.086,834447642754075.1,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5743013405784.284
0.9583333333333334,5.0949074880834374e+17,42258962.94419443,37.434304318945735,249358185.77897143,1908974779501237.5,49894490.35879395,110505275851.4659,93702456536.41245,52580613070.391075,24573.061255868735,147438631.13433054,2236888270301969.8,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47678176704213.23,843718384494032.8,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5782630376174.899
0.9791666666666666,5.0942483015180384e+17,21200431.176394626,21.41031611402024,133430428.09619492,1908895751234895.0,49894490.35879395,108206948128.49458,72268585740.78336,40632889343.916374,24573.061255868735,147438631.13433054,2285419018463155.0,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47742311723665.516,852989126233990.1,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5822218673202.03
1.0,5.093677078837799e+17,45775.157544252615,5.299074691104831,16879468.126460433,1908816625439914.8,49894490.35879395,106004656154.81485,50569532582.46139,28536527445.342228,24573.061255868735,147438631.13433054,2333944335310170.0,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47806854313734.53,862259867973947.6,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5861778405797.672
1.0208333333333333,5.093156248678313e+17,2177.55857829222,0.25238420517137744,35922.6958352855,1908748303077523.2,49894490.35879395,103891945191.36913,35744997737.94758,20167524771.49361,24573.061255868735,147438631.13433054,2382464637350881.0,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47860790378994.07,871530609713904.4,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5901309636004.325
1.0416666666666667,5.092642913371614e+17,103.72300479692701,0.012020549316465767,1023.2201659970993,1908693204716411.8,49894490.35879395,101862419271.98062,29200929175.941383,16472483206.910303,24573.061255868735,147438631.13433054,2430979817744171.5,9.043052872107632e+16,7.855151256890026e+17,4.0190611107861816e+18,47901770284456.78,880801351453857.5,21780127642400.844,22254673694540.84,20627838708511.277,2622549098132.4263,337352792350.5906,5940811957796.105
